x,z,z_scaled,kernel,globalmax,horizons,environment,id,trials,agent,Edistance
13,101,68,3,62,10,smooth,52,10,human,0
15,50,39,8,67,10,smooth,53,0,human,2
9,99,71,8,67,10,smooth,53,1,human,6
8,95,69,8,67,10,smooth,53,2,human,1
7,83,61,8,67,10,smooth,53,3,human,1
10,95,69,8,67,10,smooth,53,4,human,3
11,86,63,8,67,10,smooth,53,5,human,1
12,74,55,8,67,10,smooth,53,6,human,1
6,67,50,8,67,10,smooth,53,7,human,6
22,54,41,8,67,10,smooth,53,8,human,16
25,45,35,8,67,10,smooth,53,9,human,3
28,29,24,8,67,10,smooth,53,10,human,3
0,33,26,16,63,5,smooth,53,0,human,-1
5,50,37,16,63,5,smooth,53,1,human,5
10,52,38,16,63,5,smooth,53,2,human,5
14,100,68,16,63,5,smooth,53,3,human,4
15,81,56,16,63,5,smooth,53,4,human,1
13,93,64,16,63,5,smooth,53,5,human,2
21,17,17,3,68,10,smooth,53,0,human,-1
5,32,27,3,68,10,smooth,53,1,human,16
2,12,13,3,68,10,smooth,53,2,human,3
11,79,59,3,68,10,smooth,53,3,human,9
12,101,74,3,68,10,smooth,53,4,human,1
13,99,72,3,68,10,smooth,53,5,human,1
14,74,55,3,68,10,smooth,53,6,human,1
25,26,23,3,68,10,smooth,53,7,human,11
28,28,24,3,68,10,smooth,53,8,human,3
17,4,8,3,68,10,smooth,53,9,human,11
15,30,25,3,68,10,smooth,53,10,human,2
14,42,34,10,69,5,smooth,53,0,human,-1
1,52,41,10,69,5,smooth,53,1,human,13
2,59,46,10,69,5,smooth,53,2,human,1
3,64,49,10,69,5,smooth,53,3,human,1
4,57,44,10,69,5,smooth,53,4,human,1
5,45,36,10,69,5,smooth,53,5,human,1
16,79,63,28,73,10,smooth,53,0,human,-1
15,93,73,28,73,10,smooth,53,1,human,1
14,99,77,28,73,10,smooth,53,2,human,1
13,97,76,28,73,10,smooth,53,3,human,1
12,77,61,28,73,10,smooth,53,4,human,1
11,47,39,28,73,10,smooth,53,5,human,1
17,72,58,28,73,10,smooth,53,6,human,6
22,101,79,28,73,10,smooth,53,7,human,5
23,90,71,28,73,10,smooth,53,8,human,1
21,98,77,28,73,10,smooth,53,9,human,2
24,72,58,28,73,10,smooth,53,10,human,3
2,72,63,5,80,5,smooth,53,0,human,-1
3,45,41,5,80,5,smooth,53,1,human,1
1,94,80,5,80,5,smooth,53,2,human,2
0,88,75,5,80,5,smooth,53,3,human,1
29,62,55,5,80,5,smooth,53,4,human,29
28,51,46,5,80,5,smooth,53,5,human,1
28,62,48,26,70,10,smooth,53,0,human,-1
27,32,27,26,70,10,smooth,53,1,human,1
2,35,30,26,70,10,smooth,53,2,human,25
1,24,22,26,70,10,smooth,53,3,human,1
5,50,40,26,70,10,smooth,53,4,human,4
4,41,34,26,70,10,smooth,53,5,human,1
8,92,69,26,70,10,smooth,53,6,human,4
9,67,52,26,70,10,smooth,53,7,human,1
7,96,72,26,70,10,smooth,53,8,human,2
6,74,57,26,70,10,smooth,53,9,human,1
13,1,6,26,70,10,smooth,53,10,human,7
0,39,36,37,80,5,smooth,53,0,human,-1
4,82,71,37,80,5,smooth,53,1,human,4
5,87,75,37,80,5,smooth,53,2,human,1
6,94,80,37,80,5,smooth,53,3,human,1
7,100,85,37,80,5,smooth,53,4,human,1
8,95,81,37,80,5,smooth,53,5,human,1
29,47,42,20,78,10,smooth,53,0,human,-1
24,56,49,20,78,10,smooth,53,1,human,5
26,47,42,20,78,10,smooth,53,2,human,2
22,75,64,20,78,10,smooth,53,3,human,4
21,91,76,20,78,10,smooth,53,4,human,1
20,101,84,20,78,10,smooth,53,5,human,1
19,100,83,20,78,10,smooth,53,6,human,1
18,88,74,20,78,10,smooth,53,7,human,1
17,65,56,20,78,10,smooth,53,8,human,1
16,42,38,20,78,10,smooth,53,9,human,1
23,63,54,20,78,10,smooth,53,10,human,7
3,35,31,6,74,5,smooth,53,0,human,-1
8,7,10,6,74,5,smooth,53,1,human,5
15,85,68,6,74,5,smooth,53,2,human,7
16,61,50,6,74,5,smooth,53,3,human,1
14,100,79,6,74,5,smooth,53,4,human,2
13,96,76,6,74,5,smooth,53,5,human,1
2,52,38,29,64,10,smooth,53,0,human,-1
6,32,25,29,64,10,smooth,53,1,human,4
13,24,20,29,64,10,smooth,53,2,human,7
18,89,62,29,64,10,smooth,53,3,human,5
19,84,59,29,64,10,smooth,53,4,human,1
17,69,49,29,64,10,smooth,53,5,human,2
20,66,47,29,64,10,smooth,53,6,human,3
21,58,42,29,64,10,smooth,53,7,human,1
22,59,43,29,64,10,smooth,53,8,human,1
26,-1,4,29,64,10,smooth,53,9,human,4
27,9,11,29,64,10,smooth,53,10,human,1
3,47,34,27,62,5,smooth,53,0,human,-1
9,42,31,27,62,5,smooth,53,1,human,6
15,70,48,27,62,5,smooth,53,2,human,6
17,88,60,27,62,5,smooth,53,3,human,2
18,84,57,27,62,5,smooth,53,4,human,1
16,78,53,27,62,5,smooth,53,5,human,2
9,1,6,23,71,10,smooth,53,0,human,-1
14,65,51,23,71,10,smooth,53,1,human,5
