,agent,id,environment,t,horizons,z
116,gpt,116,rough,0.6,10,57.635934646276404
117,gpt,117,rough,1.0,10,62.16805882968543
118,gpt,118,rough,0.6,10,51.797921549488315
119,gpt,119,rough,0.8,10,75.81631381080251
120,gpt,120,rough,0.6,10,48.43738928155087
121,gpt,121,rough,0.8,10,63.39626168572506
122,gpt,122,rough,0.4,10,71.52950304200905
123,gpt,123,rough,0.6,10,41.77913190224782
124,gpt,124,rough,0.8,10,59.19409288286258
125,gpt,125,rough,0.6,10,66.3796402620376
126,gpt,126,rough,0.8,10,53.60455863234913
127,gpt,127,rough,0.6,10,65.39203007111244
128,gpt,128,rough,0.8,10,29.111900930753485
129,gpt,129,smooth,1.0,5,75.9697626179932
130,gpt,130,rough,0.6,10,53.263174373435255
131,gpt,131,rough,0.8,10,41.597035856477596
132,gpt,132,rough,0.6,10,54.15610917956575
133,gpt,133,rough,0.0,10,68.77631698651054
134,gpt,134,rough,0.8,10,51.866144713172474
135,gpt,135,rough,0.6,10,57.3684394966757
136,gpt,136,rough,0.8,10,29.371872426210384
137,gpt,137,rough,0.6,10,62.056321859623
138,gpt,138,rough,0.8,10,36.1532618833667
139,gpt,139,rough,0.6,10,73.26075197267481
140,gpt,140,rough,0.8,10,70.40886672594571
141,gpt,141,rough,0.6,10,53.99004786935056
142,gpt,142,rough,0.8,10,42.200862679431594
143,gpt,143,rough,0.6,10,75.78922229891681
144,gpt,144,rough,0.2,10,37.02945668186132
145,gpt,145,rough,0.8,10,72.58622567212723
146,gpt,146,rough,0.6,10,49.80278092408521
147,gpt,147,rough,0.8,10,51.804932648705766
148,gpt,148,rough,0.6,10,48.0845152447248
149,gpt,149,rough,0.8,10,54.07085651682432
150,gpt,150,rough,0.6,10,62.11866259720721
151,gpt,151,rough,0.8,10,62.27830113054549
152,gpt,152,rough,1.0,10,79.37266039892917
153,gpt,153,rough,1.0,5,56.04715763570308
154,gpt,154,rough,1.0,10,80.12666454700552
155,gpt,155,rough,0.4,10,59.904073477141424
156,gpt,156,rough,1.0,5,72.16709228362863
157,gpt,157,rough,1.0,5,39.444249158488816
158,gpt,158,rough,1.0,10,28.739817003976892
159,gpt,159,rough,1.0,10,32.76464903403612
160,gpt,160,rough,1.0,5,50.91006326959436
161,gpt,161,smooth,1.0,5,84.38792449960916
162,gpt,162,rough,1.0,5,79.29010533350448
163,gpt,163,rough,1.0,5,59.6795450238694
164,gpt,164,rough,1.0,5,46.26637282437122
165,gpt,165,rough,1.0,5,76.45195941297925
166,gpt,166,rough,0.0,10,66.05085148129983
167,gpt,167,rough,1.0,5,64.20832759372195
168,gpt,168,rough,1.0,5,56.149338067281626
169,gpt,169,smooth,1.0,10,76.96923811447772
170,gpt,170,rough,1.0,5,44.39806802229401
171,gpt,171,rough,1.0,5,75.48746983200117
172,gpt,172,rough,1.0,5,79.77567156190128
173,gpt,173,smooth,1.0,10,58.75930726928382
174,gpt,174,smooth,1.0,10,62.064527864827056
175,gpt,175,smooth,1.0,10,17.034059807281686
176,gpt,176,smooth,1.0,10,35.775142913107885
177,gpt,177,rough,0.2,10,31.526839220661998
178,gpt,178,smooth,1.0,10,57.12562596627565
179,gpt,179,smooth,1.0,10,50.82982857390822
180,gpt,180,rough,0.4,10,60.017879623384005
181,gpt,181,rough,0.0,10,58.15288819022371
182,gpt,182,rough,0.2,10,40.43486043586833
183,gpt,183,rough,0.4,10,67.66640987982525
184,gpt,184,rough,0.4,10,54.547246509012375
185,gpt,185,rough,0.0,10,49.810892218023874
186,gpt,186,rough,1.0,10,40.43486043586833
187,gpt,187,rough,0.2,10,62.36530381274028
188,gpt,188,rough,0.4,10,67.70156283342568
189,gpt,189,rough,0.0,10,68.95553860097283
190,gpt,190,rough,0.2,10,84.8648659649935
191,gpt,191,rough,0.4,10,51.29892952809283
192,gpt,192,rough,0.0,10,66.82974699778106
193,gpt,193,rough,0.2,10,53.675196291346516
194,gpt,194,rough,0.4,10,76.67898015465813
195,gpt,195,rough,0.0,10,74.44779599563368
196,gpt,196,rough,0.0,10,70.77465174213559
197,gpt,197,rough,0.2,10,64.5650223933452
198,gpt,198,rough,0.4,10,53.873687452532415
199,gpt,199,rough,0.0,10,56.326843892155686
200,gpt,200,rough,0.2,10,54.45481637603618
201,gpt,201,rough,0.4,10,70.53143967946347
202,gpt,202,rough,0.0,10,26.961586550054008
203,gpt,203,rough,0.2,10,42.327155842348624
204,gpt,204,rough,0.4,10,36.1532618833667
205,gpt,205,rough,0.0,10,40.83961995258017
206,gpt,206,rough,0.2,10,76.54530365695068
207,gpt,207,rough,0.2,10,78.86020407081139
208,gpt,208,rough,0.4,10,54.54288326387794
209,gpt,209,rough,0.0,10,65.14559123906491
210,gpt,210,rough,0.2,10,47.13093658293846
211,gpt,211,rough,0.4,10,48.13678707794043
