,trials,x,z,kernel,environment,agent,grid,horizons
0,2,25,30.95773531715839,9,smooth,random,3,5
0,3,13,11.878161118141369,9,smooth,random,3,5
0,4,13,11.878161118141369,9,smooth,random,3,5
0,5,18,100.0,9,smooth,random,3,5
0,1,17,94.36044923667241,9,smooth,random,4,5
0,2,19,90.35846267706472,9,smooth,random,4,5
0,3,10,16.39511032184982,9,smooth,random,4,5
0,4,22,1.271758011521894,9,smooth,random,4,5
0,5,13,11.878161118141369,9,smooth,random,4,5
0,1,5,5.710685339480041,9,smooth,random,5,5
0,2,18,100.0,9,smooth,random,5,5
0,3,27,61.9489855357776,9,smooth,random,5,5
0,4,13,11.878161118141369,9,smooth,random,5,5
0,5,25,30.95773531715839,9,smooth,random,5,5
0,1,14,13.4367208001501,9,smooth,random,6,5
0,2,23,0.7612625616434107,9,smooth,random,6,5
0,3,27,61.9489855357776,9,smooth,random,6,5
0,4,14,13.4367208001501,9,smooth,random,6,5
0,5,15,36.86722568245623,9,smooth,random,6,5
0,1,12,18.89500426345363,9,smooth,random,7,5
0,2,23,0.7612625616434107,9,smooth,random,7,5
0,3,18,100.0,9,smooth,random,7,5
0,4,14,13.4367208001501,9,smooth,random,7,5
0,5,13,11.878161118141369,9,smooth,random,7,5
0,1,2,12.353958771597712,9,smooth,random,8,5
0,2,10,16.39511032184982,9,smooth,random,8,5
0,3,10,16.39511032184982,9,smooth,random,8,5
0,4,20,63.83660304939222,9,smooth,random,8,5
0,5,3,0.7861532272023986,9,smooth,random,8,5
0,1,5,5.710685339480041,9,smooth,random,9,5
0,2,8,9.196763479439577,9,smooth,random,9,5
0,3,4,0.0,9,smooth,random,9,5
0,4,0,64.04019536760808,9,smooth,random,9,5
0,5,20,63.83660304939222,9,smooth,random,9,5
0,1,5,44.58906138516844,10,smooth,random,0,5
0,2,15,67.00324769318372,10,smooth,random,0,5
0,3,18,92.60326282948229,10,smooth,random,0,5
0,4,19,66.1035616954231,10,smooth,random,0,5
0,5,24,44.97072422703715,10,smooth,random,0,5
0,1,7,35.960917715652855,10,smooth,random,1,5
0,2,19,66.1035616954231,10,smooth,random,1,5
0,3,5,44.58906138516844,10,smooth,random,1,5
0,4,3,63.91426995242028,10,smooth,random,1,5
0,5,16,91.70398153373465,10,smooth,random,1,5
0,1,15,67.00324769318372,10,smooth,random,2,5
0,2,27,37.27790063324698,10,smooth,random,2,5
0,3,9,54.02996893463663,10,smooth,random,2,5
0,4,29,29.846978454429184,10,smooth,random,2,5
0,5,23,21.084720491583028,10,smooth,random,2,5
0,1,24,44.97072422703715,10,smooth,random,3,5
0,2,4,57.3424999444642,10,smooth,random,3,5
0,3,26,48.13356256272027,10,smooth,random,3,5
0,4,4,57.3424999444642,10,smooth,random,3,5
0,5,23,21.084720491583028,10,smooth,random,3,5
0,1,3,63.91426995242028,10,smooth,random,4,5
0,2,29,29.846978454429184,10,smooth,random,4,5
0,3,13,40.923784017282,10,smooth,random,4,5
0,4,26,48.13356256272027,10,smooth,random,4,5
0,5,13,40.923784017282,10,smooth,random,4,5
0,1,0,49.933486195263036,10,smooth,random,5,5
0,2,28,27.845329185908806,10,smooth,random,5,5
0,3,10,65.63840748446259,10,smooth,random,5,5
0,4,14,42.181490498529854,10,smooth,random,5,5
0,5,0,49.933486195263036,10,smooth,random,5,5
0,1,25,53.44235554546856,10,smooth,random,6,5
0,2,0,49.933486195263036,10,smooth,random,6,5
0,3,6,37.079851452242075,10,smooth,random,6,5
0,4,24,44.97072422703715,10,smooth,random,6,5
0,5,26,48.13356256272027,10,smooth,random,6,5
0,1,14,42.181490498529854,10,smooth,random,7,5
0,2,8,41.41918248262921,10,smooth,random,7,5
0,3,15,67.00324769318372,10,smooth,random,7,5
0,4,13,40.923784017282,10,smooth,random,7,5
0,5,0,49.933486195263036,10,smooth,random,7,5
0,1,27,37.27790063324698,10,smooth,random,8,5
