,agent,id,environment,t,z
290,per_gpt,290,smooth,0.4,50.579759584635624
291,per_gpt,291,smooth,0.6,46.19617307700492
292,per_gpt,292,smooth,0.8,40.87259463671276
293,per_gpt,293,smooth,0.0,49.52946365075363
294,per_gpt,294,rough,1.0,80.12666454700552
295,per_gpt,295,smooth,0.2,41.42983530051424
296,per_gpt,296,smooth,0.4,59.10967454593983
297,per_gpt,297,smooth,0.6,54.992202781106904
298,per_gpt,298,smooth,0.8,38.74172176269626
299,per_gpt,299,smooth,0.0,33.70596146892636
300,per_gpt,300,rough,1.0,72.16709228362863
301,per_gpt,301,smooth,0.2,44.4266797542765
302,per_gpt,302,smooth,0.4,45.07263626937949
303,per_gpt,303,smooth,0.6,32.243655439440644
304,per_gpt,304,smooth,0.8,50.63600379314017
305,per_gpt,305,smooth,0.0,72.39683290760611
306,per_gpt,306,rough,1.0,39.444249158488816
307,per_gpt,307,smooth,0.2,40.815608583195264
308,per_gpt,308,smooth,0.4,66.18971317936656
309,per_gpt,309,smooth,0.6,32.447479957131236
310,per_gpt,310,smooth,0.8,13.864423976745258
311,per_gpt,311,smooth,0.0,78.47127362380523
312,per_gpt,312,rough,1.0,28.739817003976892
313,per_gpt,313,smooth,0.2,36.81547409535173
314,per_gpt,314,smooth,0.4,72.46548038121382
315,per_gpt,315,smooth,0.6,40.04790314114436
316,per_gpt,316,smooth,0.8,46.98466800931504
317,per_gpt,317,smooth,0.0,77.12570503263177
318,per_gpt,318,rough,1.0,32.76464903403612
319,per_gpt,319,smooth,0.2,45.79973911880295
320,per_gpt,320,smooth,0.4,46.97930487511571
321,per_gpt,321,smooth,0.6,59.474863915789
322,per_gpt,322,smooth,0.0,46.2995397358145
323,per_gpt,323,rough,1.0,50.91006326959436
324,per_gpt,324,smooth,0.2,50.41705694112046
325,per_gpt,325,smooth,0.4,66.75210252676483
326,per_gpt,326,smooth,0.6,71.83624823148051
327,per_gpt,327,smooth,0.8,50.579759584635624
328,per_gpt,328,smooth,0.0,52.68924664021852
329,per_gpt,329,smooth,1.0,84.38792449960916
330,per_gpt,330,smooth,0.2,58.82468894827861
331,per_gpt,331,smooth,0.4,34.65600294546544
332,per_gpt,332,smooth,0.6,47.51659320098338
333,per_gpt,333,smooth,0.0,54.43368677531806
334,per_gpt,334,rough,1.0,79.29010533350448
335,per_gpt,335,smooth,0.2,85.07365283360899
336,per_gpt,336,smooth,0.4,44.003635584096614
337,per_gpt,337,smooth,0.6,52.46402679834655
338,per_gpt,338,smooth,0.0,49.198499684676875
339,per_gpt,339,smooth,0.2,42.64261576765198
340,per_gpt,340,smooth,0.4,78.33008377766836
341,per_gpt,341,smooth,0.6,72.58528963053394
342,per_gpt,342,smooth,0.0,44.4266797542765
343,per_gpt,343,smooth,0.2,65.13365559790951
344,per_gpt,344,smooth,0.4,73.45095566789517
345,per_gpt,345,smooth,0.6,45.84509025241479
346,per_gpt,346,smooth,0.0,78.94407220160986
347,per_gpt,347,rough,1.0,59.6795450238694
348,per_gpt,348,smooth,0.2,70.43084937120774
349,per_gpt,349,smooth,0.4,18.179928732880942
350,per_gpt,350,smooth,0.6,28.684170098758543
