,AIC,BIC,Model,id,horizons,environment,t
270,47.11753661921489,47.42012171220893,WSLS,461,10,smooth,0.8
271,62.5689849933388,62.871570086332845,WSLS,461,10,smooth,0.0
272,70.02405197096638,70.32663706396043,WSLS,461,10,smooth,0.2
273,62.5689850135484,62.87157010654244,WSLS,461,10,smooth,0.4
274,62.56898499546479,62.87157008845883,WSLS,461,10,smooth,0.6
275,57.64979292571973,57.95237801871377,WSLS,461,10,smooth,0.8
276,52.47508674672237,52.77767183971641,WSLS,461,10,smooth,0.0
277,70.02405197096637,70.32663706396042,WSLS,461,10,smooth,0.2
278,57.649792935267186,57.95237802826123,WSLS,461,10,smooth,0.4
279,62.568984994284804,62.87157008727885,WSLS,461,10,smooth,0.6
280,62.568985015074546,62.87157010806859,WSLS,461,10,smooth,0.8
281,52.475086757421536,52.77767185041558,WSLS,461,10,smooth,0.0
282,52.47508674935967,52.77767184235371,WSLS,461,10,smooth,0.2
283,62.568984996226774,62.87157008922082,WSLS,461,10,smooth,0.4
284,52.47508686862835,52.777671961622396,WSLS,461,10,smooth,0.6
285,57.64979297638571,57.952378069379755,WSLS,461,10,smooth,0.8
286,52.47508675958487,52.77767185257891,WSLS,461,10,smooth,0.0
287,57.6497929248424,57.952378017836445,WSLS,461,10,smooth,0.2
288,70.02405197096638,70.32663706396043,WSLS,461,10,smooth,0.4
289,57.64979292641758,57.952378019411626,WSLS,461,10,smooth,0.6
290,52.47508674249913,52.77767183549317,WSLS,461,10,smooth,0.8
291,70.02405197096637,70.32663706396042,WSLS,461,10,smooth,0.0
292,58.8504473168675,59.153032409861545,WSLS,461,10,smooth,0.2
293,57.649792924893546,57.95237801788759,WSLS,461,10,smooth,0.4
294,57.649792921264975,57.95237801425902,WSLS,461,10,smooth,0.6
295,57.649792925052566,57.95237801804661,WSLS,461,10,smooth,0.8
296,70.02405197096637,70.32663706396042,WSLS,461,10,smooth,0.0
297,35.95169461622182,36.254279709215865,WSLS,461,10,smooth,0.2
298,52.47508678832198,52.777671881316024,WSLS,461,10,smooth,0.4
299,52.47508674972434,52.777671842718384,WSLS,461,10,smooth,0.6
300,62.56898500257907,62.87157009557311,WSLS,461,10,smooth,0.8
301,57.64979292186517,57.952378014859214,WSLS,461,10,smooth,0.0
302,57.64979292193134,57.95237801492539,WSLS,461,10,smooth,0.2
303,67.03833905140476,67.34092414439881,WSLS,461,10,smooth,0.4
304,52.47508676035047,52.777671853344515,WSLS,461,10,smooth,0.6
305,62.568985057732306,62.87157015072635,WSLS,461,10,smooth,0.8
306,41.60758569835574,41.910170791349785,WSLS,461,10,smooth,0.0
307,62.56898499871763,62.871570091711675,WSLS,461,10,smooth,0.2
308,62.568984993097104,62.87157008609115,WSLS,461,10,smooth,0.4
309,62.56898499477868,62.871570087772724,WSLS,461,10,smooth,0.6
310,52.47508676855917,52.777671861553216,WSLS,461,10,smooth,0.8
311,52.475086868465056,52.7776719614591,WSLS,461,10,smooth,0.0
312,70.09061812722042,70.39320322021447,WSLS,461,10,smooth,0.2
313,47.11753664307106,47.420121736065106,WSLS,461,10,smooth,0.4
314,67.03833905727265,67.3409241502667,WSLS,461,10,smooth,0.6
315,67.03833905048474,67.34092414347879,WSLS,461,10,smooth,0.8
316,67.03833907148088,67.34092416447493,WSLS,461,10,smooth,0.0
317,57.64979292506877,57.95237801806282,WSLS,461,10,smooth,0.2
318,41.607585698263,41.910170791257045,WSLS,461,10,smooth,0.4
319,52.47508674247254,52.777671835466585,WSLS,461,10,smooth,0.6
320,57.64979292151999,57.95237801451403,WSLS,461,10,smooth,0.8
321,52.47508674474475,52.777671837738794,WSLS,461,10,smooth,0.0
322,62.5689850111795,62.87157010417354,WSLS,461,10,smooth,0.2
323,70.02405197096637,70.32663706396042,WSLS,461,10,smooth,0.4
324,64.34148880865268,64.64407390164672,WSLS,461,10,smooth,0.6
325,62.56898499320916,62.87157008620321,WSLS,461,10,smooth,0.8
326,35.95169462095483,36.254279713948875,WSLS,461,10,smooth,0.0
327,57.64979292208434,57.95237801507838,WSLS,461,10,smooth,0.2
328,47.11753659044627,47.420121683440314,WSLS,461,10,smooth,0.4
329,67.03833904969844,67.34092414269249,WSLS,461,10,smooth,0.6
330,52.4750867502812,52.77767184327524,WSLS,461,10,smooth,0.8
331,67.0383390494572,67.34092414245126,WSLS,461,10,smooth,0.0
332,67.03833904979902,67.34092414279307,WSLS,461,10,smooth,0.2
333,62.56898499514863,62.871570088142676,WSLS,461,10,smooth,0.4
334,52.47508677686747,52.777671869861514,WSLS,461,10,smooth,0.6
335,52.47508674181284,52.77767183480688,WSLS,461,10,smooth,0.8
336,62.568984993071375,62.87157008606542,WSLS,461,10,smooth,0.0
337,57.64979292189652,57.95237801489056,WSLS,461,10,smooth,0.2
338,62.56898499954025,62.87157009253429,WSLS,461,10,smooth,0.4
339,47.11753659116054,47.42012168415458,WSLS,461,10,smooth,0.6
340,41.60758576541089,41.91017085840493,WSLS,461,10,smooth,0.8
341,47.11753660293918,47.420121695933226,WSLS,461,10,smooth,0.0
342,57.649792974903676,57.95237806789772,WSLS,461,10,smooth,0.2
343,47.117536642025605,47.42012173501965,WSLS,461,10,smooth,0.4
344,64.34148881404764,64.64407390704169,WSLS,461,10,smooth,0.6
345,57.64979292160872,57.952378014602765,WSLS,461,10,smooth,0.8
346,67.03833905238194,67.340924145376,WSLS,461,10,smooth,0.0
347,62.56898500413041,62.871570097124454,WSLS,461,10,smooth,0.2
348,67.03833905581207,67.34092414880612,WSLS,461,10,smooth,0.4
349,47.11753659205372,47.42012168504776,WSLS,461,10,smooth,0.6
350,47.117536593526495,47.42012168652054,WSLS,461,10,smooth,0.8
351,57.649792924940066,57.95237801793411,WSLS,461,10,smooth,0.0
352,70.02405197096637,70.32663706396042,WSLS,461,10,smooth,0.2
353,62.56898499506377,62.871570088057815,WSLS,461,10,smooth,0.4
354,41.60758572046283,41.91017081345687,WSLS,461,10,smooth,0.6
355,52.47508691025159,52.777672003245634,WSLS,461,10,smooth,0.8
356,57.649792921247695,57.95237801424174,WSLS,461,10,smooth,0.0
357,52.47508674182349,52.77767183481753,WSLS,461,10,smooth,0.2
358,50.451784764675466,50.75436985766951,WSLS,461,10,smooth,0.4
359,62.56898499559732,62.87157008859136,WSLS,461,10,smooth,0.6
