,AIC,BIC,Learning,Sampling,id,horizons,environment
395,69.83430955993703,70.74206483891916,GP,Explore,37,10,smooth
396,38.94461913811138,37.77293287541368,GP,Explore,38,5,smooth
397,38.94461913811138,37.77293287541368,GP,Explore,39,5,rough
398,80.85085514473685,81.75861042371899,GP,Explore,3,10,rough
399,41.137128122169955,39.96544185947226,GP,Explore,40,5,smooth
400,46.51535053343696,45.34366427073926,GP,Explore,41,5,rough
401,76.48466577451033,77.39242105349247,GP,Explore,42,10,rough
402,79.93585970705048,80.84361498603262,GP,Explore,43,10,smooth
403,43.62885065517759,42.45716439247989,GP,Explore,44,5,rough
404,77.04536629438336,77.9531215733655,GP,Explore,45,10,smooth
405,81.39022801893894,82.29798329792108,GP,Explore,46,10,rough
406,69.83430955993703,70.74206483891916,GP,Explore,47,10,smooth
407,79.9355454221349,80.84330070111703,GP,Explore,48,10,rough
408,79.47363085296514,80.38138613194728,GP,Explore,49,10,smooth
409,75.45414835932746,76.3619036383096,GP,Explore,4,10,smooth
410,78.01983609176817,78.9275913707503,GP,Explore,50,10,rough
411,41.57028959539449,40.398603332696794,GP,Explore,51,5,smooth
412,78.53312406194016,79.4408793409223,GP,Explore,52,10,rough
413,38.94461913811138,37.77293287541368,GP,Explore,53,5,rough
414,79.49203205779561,80.39978733677775,GP,Explore,54,10,rough
415,42.31659800593091,41.144911743233216,GP,Explore,55,5,rough
416,38.94461913811138,37.77293287541368,GP,Explore,56,5,rough
417,76.9509934513505,77.85874873033264,GP,Explore,57,10,rough
418,78.61939933806042,79.52715461704256,GP,Explore,58,10,rough
419,46.77208951798242,45.600403255284725,GP,Explore,59,5,rough
420,38.94461913811138,37.77293287541368,GP,Explore,5,5,smooth
421,47.5277630632012,46.3560768005035,GP,Explore,60,5,rough
422,46.066993020231315,44.89530675753362,GP,Explore,63,5,rough
423,41.40340989432004,40.231723631622344,GP,Explore,64,5,rough
424,52.02104508915484,50.84935882645714,GP,Explore,65,5,rough
425,42.081530557683664,40.909844294985966,GP,Explore,67,5,rough
426,38.94461913811138,37.77293287541368,GP,Explore,68,5,rough
427,75.10469104694272,76.01244632592486,GP,Explore,6,10,smooth
428,42.17117358548915,40.99948732279145,GP,Explore,70,5,rough
429,42.39630453685479,41.224618274157095,GP,Explore,72,5,rough
430,46.851224006480535,45.67953774378284,GP,Explore,73,5,rough
431,41.28752744325171,40.115841180554014,GP,Explore,74,5,rough
432,90.77815230561359,91.68590758459572,GP,Explore,75,10,smooth
433,75.80923839350929,76.71699367249143,GP,Explore,76,10,smooth
434,69.83430955993703,70.74206483891916,GP,Explore,77,10,smooth
435,76.90831933241485,77.81607461139699,GP,Explore,78,10,smooth
436,69.83430955993703,70.74206483891916,GP,Explore,79,10,smooth
437,83.19581799067417,84.10357326965631,GP,Explore,7,10,smooth
438,82.20349596172782,83.11125124070996,GP,Explore,80,10,smooth
439,81.90879228532046,82.8165475643026,GP,Explore,81,10,smooth
440,79.72567458006536,80.6334298590475,GP,Explore,82,10,smooth
441,80.06751508238597,80.9752703613681,GP,Explore,83,10,smooth
442,84.65073764803168,85.55849292701382,GP,Explore,84,10,smooth
443,75.79547402915972,76.70322930814186,GP,Explore,85,10,smooth
444,74.46640335284738,75.37415863182952,GP,Explore,86,10,smooth
445,75.28055206151278,76.18830734049492,GP,Explore,87,10,smooth
446,77.39663392793653,78.30438920691867,GP,Explore,88,10,smooth
447,73.4730192595812,74.38077453856334,GP,Explore,89,10,smooth
448,69.83430955993703,70.74206483891916,GP,Explore,8,10,smooth
449,82.8525946409531,83.76034991993524,GP,Explore,9,10,smooth
450,20.82550526190954,19.65381899921184,GP,Exploit,0,5,smooth
451,58.49763810201574,59.40539338099788,GP,Exploit,10,10,rough
452,40.61418126810094,39.442495005403245,GP,Exploit,11,5,smooth
453,58.01708253499021,58.924837813972346,GP,Exploit,13,10,smooth
454,78.93092193727705,79.83867721625919,GP,Exploit,14,10,smooth
455,56.780973988677985,57.68872926766012,GP,Exploit,15,10,rough
456,41.172068421740036,40.00038215904234,GP,Exploit,16,5,rough
457,37.2623921502504,36.0907058875527,GP,Exploit,17,5,smooth
458,25.338182603971173,24.166496341273472,GP,Exploit,19,5,rough
459,70.01721593253642,70.92497121151855,GP,Exploit,1,10,rough
