,beta,tau,horizons,environment,id,t
52,8.981784197001252e-15,0.0133633022622382,5,rough,52,0.8
53,0.0554137590447624,0.0153891456723765,5,rough,53,0.0
54,1e-16,0.0134261648014028,5,rough,54,0.2
55,0.3944914606765366,0.0163091351519174,10,rough,55,0.4
56,0.0831367985589149,0.0161462091296899,5,rough,56,0.4
57,0.0903124469698919,0.015528724371291,5,rough,57,0.6
58,0.0949557384451433,0.0158110866342743,5,rough,58,0.8
59,0.295443800259706,0.0137939137928034,5,rough,59,0.0
60,1.124453597491153,0.0149056793353514,5,rough,60,0.2
61,6.551115123125783e-16,0.0135025420656937,5,rough,61,0.4
62,0.4446005614417881,0.0166370985216913,5,rough,62,0.6
63,1e-16,0.0135617698533181,5,rough,63,0.8
64,3.0631133177191806e-14,0.0136822853368413,5,rough,64,0.0
65,0.0237480712122507,0.0150133956898286,5,rough,65,0.2
66,0.3084592401999515,0.0165026899922111,10,rough,66,0.0
67,0.0641925071331462,0.0157754544706413,5,rough,67,0.4
68,1.1885512811867711,0.0178659232982248,5,rough,68,0.6
69,0.3053249009098364,0.0164109886186448,5,rough,69,0.8
70,0.92648816833943,0.0167267092666729,5,rough,70,0.0
71,0.0420823709598007,0.0152161634788795,5,rough,71,0.2
72,0.0215811256445642,0.010063016309847,5,rough,72,0.4
73,2.8755575615628918e-15,0.0141849650703252,5,rough,73,0.6
74,1e-16,0.013704593513369,5,rough,74,0.8
75,0.0911421230599808,0.0159590040438429,5,rough,75,0.0
76,1.8141378978044145,0.0003109092936127,5,rough,76,0.2
77,0.1622363972929759,0.0159369433746343,10,rough,77,0.2
78,0.0837030202351675,0.0157147585583867,5,rough,78,0.4
79,1.2776537918333668,0.0177833537357026,5,rough,79,0.6
80,1.3257334358812294,0.01121626782153,5,rough,80,0.8
81,0.005428045937686,0.014036037051059,5,rough,81,0.0
82,0.3567322002958685,0.0160785036044925,5,rough,82,0.2
83,0.0247415959651737,0.0145132068260357,5,rough,83,0.4
84,2.8755575615628918e-15,0.0133250591205681,5,rough,84,0.6
85,0.1916603421213998,0.0166000723339666,5,rough,85,0.8
86,3.985780586188048e-15,0.0119617719475651,5,rough,86,0.0
87,0.0009112390574973,0.0133399415958125,5,smooth,87,1.0
88,0.0032651699235986,0.0145199672625868,10,rough,88,0.4
89,0.0931328978221425,0.0159970402625376,5,rough,89,1.0
90,0.077077736559873,0.015986836849315,5,smooth,90,1.0
91,0.6303070810974993,0.0167128377120002,5,smooth,91,1.0
92,0.0176686948475536,0.0078816970544743,5,smooth,92,1.0
93,0.0236156843833602,0.0144226164806111,5,rough,93,1.0
94,0.6158081060953675,0.0167241384119355,10,smooth,94,1.0
95,0.2946476532539356,0.0167138335314071,5,smooth,95,1.0
96,1.2588403361621237,0.0184199590200357,5,rough,96,1.0
97,1.7653345369377349e-15,0.0134512198671522,10,rough,97,1.0
98,0.0523398212149745,0.0150733460196951,5,smooth,98,1.0
99,1e-16,0.0138407817032127,10,rough,99,0.0
100,0.0207970170272587,0.0146865431844562,5,rough,100,1.0
101,0.474357936437993,0.0165036460837226,10,rough,101,1.0
102,0.130884180004679,0.0157238336981653,10,smooth,102,1.0
103,0.0475334594434058,0.0151725070446874,5,rough,103,1.0
104,0.1361589290455973,0.015816597125028,10,smooth,104,1.0
105,2.8755575615628918e-15,0.0101712100826096,10,rough,105,1.0
106,1e-16,0.0132873693165276,10,smooth,106,1.0
107,1.5067975563514502,0.0168495162955557,10,rough,107,1.0
108,0.0814207401027257,0.0154795052926915,10,smooth,108,1.0
109,0.1023645174187371,0.0056235729850474,10,smooth,109,1.0
110,0.5529071110169838,0.0003529032501998,10,rough,110,0.2
111,0.1210686581008919,0.0160210161170655,10,rough,111,0.2
112,0.0096622164365174,0.0143773212746557,10,rough,112,0.6
113,0.2506549291383448,0.0159795822988296,10,rough,113,0.6
114,0.5392609353852524,0.0165249546138569,10,rough,114,0.6
115,0.2791734960577736,0.0162315815225295,10,rough,115,0.6
116,1e-16,0.0134515270087144,10,rough,116,0.6
117,0.0114109013896058,0.0130716200055026,10,rough,117,1.0
118,0.2775328331515515,0.0162395392108434,10,rough,118,0.6
119,0.1731825879809441,0.0162941646719983,10,rough,119,0.8
120,0.0710495260798628,0.0154968866170086,10,rough,120,0.6
121,0.0479682891501083,0.0147167341442861,10,rough,121,0.8
122,0.192440317235163,0.0161844119141852,10,rough,122,0.4
123,0.1166727477363816,0.0159111173702864,10,rough,123,0.6
124,3.4306690738754697e-15,0.0137458438021088,10,rough,124,0.8
125,1e-16,0.0136692420458396,10,rough,125,0.6
126,0.0272148407004558,0.014667748058081,10,rough,126,0.8
127,0.2894634712959633,0.0164471765274199,10,rough,127,0.6
