Unnamed: 0,trials,x,z,horizons,environment,id
3,3,25,0.5981090253993594,10,rough,125
4,4,28,0.4980585090806146,10,rough,125
5,5,5,0.0,10,rough,125
6,6,12,0.6990578638337398,10,rough,125
7,7,16,1.0,10,rough,125
8,8,9,0.1142825588093491,10,rough,125
9,9,0,0.8496004955905626,10,rough,125
10,10,27,0.6362072306555834,10,rough,125
0,0,10,0.2801618362029448,10,rough,126
1,1,24,0.3015625382890858,10,rough,126
2,2,15,0.9397966312264516,10,rough,126
3,3,17,0.2540409024827065,10,rough,126
4,4,7,0.0645447613341522,10,rough,126
5,5,21,0.3265430364460686,10,rough,126
6,6,29,0.536591386331244,10,rough,126
7,7,23,0.2567957678917096,10,rough,126
8,8,2,0.1042706650637551,10,rough,126
9,9,17,0.2540409024827065,10,rough,126
10,10,18,0.4493254030650834,10,rough,126
0,0,13,0.8573016022569282,10,rough,127
1,1,23,0.8578289439670664,10,rough,127
2,2,9,0.1142825588093491,10,rough,127
3,3,10,0.3974357194767751,10,rough,127
4,4,8,0.7963056068977591,10,rough,127
5,5,8,0.7963056068977591,10,rough,127
6,6,27,0.6362072306555834,10,rough,127
7,7,24,0.835059450382272,10,rough,127
8,8,4,0.2798554323027923,10,rough,127
9,9,20,0.2327137117284284,10,rough,127
10,10,10,0.3974357194767751,10,rough,127
0,0,17,0.2540409024827065,10,rough,128
1,1,25,0.237218640360439,10,rough,128
2,2,16,0.5691311997426599,10,rough,128
3,3,11,0.365500324955693,10,rough,128
4,4,26,0.0,10,rough,128
5,5,8,0.2067939857779011,10,rough,128
6,6,11,0.365500324955693,10,rough,128
7,7,23,0.2567957678917096,10,rough,128
8,8,22,0.3776592151317186,10,rough,128
9,9,29,0.536591386331244,10,rough,128
10,10,25,0.237218640360439,10,rough,128
0,0,12,0.7474229379171358,5,smooth,129
1,1,26,0.3557980950065754,5,smooth,129
2,2,23,0.4608276109320237,5,smooth,129
3,3,21,0.6219448101366961,5,smooth,129
4,4,9,1.0,5,smooth,129
5,5,17,0.4227234471605543,5,smooth,129
0,0,24,0.5324027353705171,5,rough,12
1,1,28,0.3176586811457595,5,rough,12
2,2,27,0.1524850951256354,5,rough,12
3,3,7,0.1594931347239507,5,rough,12
4,4,20,0.1899001686927942,5,rough,12
5,5,3,0.3180503625435589,5,rough,12
0,0,10,0.6163554237969013,10,rough,130
1,1,4,0.5015230650563453,10,rough,130
2,2,29,0.5898020234618504,10,rough,130
3,3,13,0.7466995533359331,10,rough,130
4,4,17,1.0,10,rough,130
5,5,8,0.6872698198409547,10,rough,130
6,6,17,1.0,10,rough,130
7,7,21,0.3768196209714337,10,rough,130
8,8,6,0.3622633716288276,10,rough,130
9,9,8,0.6872698198409547,10,rough,130
10,10,2,0.2955272584909711,10,rough,130
0,0,19,0.2641781492757081,10,rough,131
1,1,22,0.4137768603504695,10,rough,131
2,2,17,0.6815934905088304,10,rough,131
3,3,7,0.4578336531758908,10,rough,131
4,4,28,0.5176026948077093,10,rough,131
5,5,0,0.2203362440743158,10,rough,131
6,6,11,0.0975576757026698,10,rough,131
7,7,15,0.5965813133398254,10,rough,131
8,8,0,0.2203362440743158,10,rough,131
9,9,27,1.0,10,rough,131
10,10,4,0.2031138035872445,10,rough,131
0,0,11,0.689789542833985,10,rough,132
1,1,4,0.1989591734205073,10,rough,132
2,2,27,0.486074019794594,10,rough,132
3,3,29,0.7191672931400127,10,rough,132
